,REF_DATE,GEO,Dairy distribution,VECTOR,VALUE,TERMINATED
0,1946-01,Canada,"Milk production, total",v382152,363058,1
1,1946-01,Canada,Fluid purposes,v382156,159466,0
2,1946-02,Canada,"Milk production, total",v382152,347330,1
3,1946-02,Canada,Fluid purposes,v382156,150728,0
4,1946-03,Canada,"Milk production, total",v382152,421165,1
5,1946-03,Canada,Fluid purposes,v382156,159466,0
6,1946-04,Canada,"Milk production, total",v382152,550048,1
7,1946-04,Canada,Fluid purposes,v382156,156844,0
8,1946-05,Canada,"Milk production, total",v382152,730485,1
9,1946-05,Canada,Fluid purposes,v382156,164708,0
10,1946-06,Canada,"Milk production, total",v382152,886893,1
11,1946-06,Canada,Fluid purposes,v382156,162961,0
12,1946-07,Canada,"Milk production, total",v382152,842766,1
13,1946-07,Canada,Fluid purposes,v382156,161650,0
14,1946-08,Canada,"Milk production, total",v382152,731796,1
15,1946-08,Canada,Fluid purposes,v382156,152475,0
16,1946-09,Canada,"Milk production, total",v382152,630436,1
17,1946-09,Canada,Fluid purposes,v382156,152912,0
18,1946-10,Canada,"Milk production, total",v382152,557475,1
19,1946-10,Canada,Fluid purposes,v382156,148543,0
20,1946-11,Canada,"Milk production, total",v382152,424223,1
21,1946-11,Canada,Fluid purposes,v382156,149417,0
22,1946-12,Canada,"Milk production, total",v382152,377475,1
23,1946-12,Canada,Fluid purposes,v382156,156844,0
24,1947-01,Canada,"Milk production, total",v382152,366990,1
25,1947-01,Canada,Fluid purposes,v382156,158155,0
26,1947-02,Canada,"Milk production, total",v382152,344708,1
27,1947-02,Canada,Fluid purposes,v382156,145922,0
28,1947-03,Canada,"Milk production, total",v382152,418980,1
29,1947-03,Canada,Fluid purposes,v382156,154223,0
30,1947-04,Canada,"Milk production, total",v382152,548737,1
31,1947-04,Canada,Fluid purposes,v382156,150291,0
32,1947-05,Canada,"Milk production, total",v382152,709077,1
33,1947-05,Canada,Fluid purposes,v382156,160776,0
34,1947-06,Canada,"Milk production, total",v382152,875533,1
35,1947-06,Canada,Fluid purposes,v382156,159466,0
36,1947-07,Canada,"Milk production, total",v382152,846262,1
37,1947-07,Canada,Fluid purposes,v382156,155970,0
38,1947-08,Canada,"Milk production, total",v382152,747087,1
39,1947-08,Canada,Fluid purposes,v382156,147669,0
40,1947-09,Canada,"Milk production, total",v382152,702961,1
41,1947-09,Canada,Fluid purposes,v382156,148543,0
42,1947-10,Canada,"Milk production, total",v382152,601165,1
43,1947-10,Canada,Fluid purposes,v382156,148543,0
44,1947-11,Canada,"Milk production, total",v382152,427281,1
45,1947-11,Canada,Fluid purposes,v382156,146796,0
46,1947-12,Canada,"Milk production, total",v382152,366553,1
47,1947-12,Canada,Fluid purposes,v382156,152475,0
48,1948-01,Canada,"Milk production, total",v382152,353009,1
49,1948-01,Canada,Fluid purposes,v382156,152038,0
50,1948-02,Canada,"Milk production, total",v382152,335097,1
51,1948-02,Canada,Fluid purposes,v382156,143737,0
52,1948-03,Canada,"Milk production, total",v382152,404999,1
53,1948-03,Canada,Fluid purposes,v382156,151601,0
54,1948-04,Canada,"Milk production, total",v382152,502864,1
55,1948-04,Canada,Fluid purposes,v382156,142427,0
56,1948-05,Canada,"Milk production, total",v382152,673252,1
57,1948-05,Canada,Fluid purposes,v382156,148106,0
58,1948-06,Canada,"Milk production, total",v382152,867669,1
59,1948-06,Canada,Fluid purposes,v382156,153349,0
60,1948-07,Canada,"Milk production, total",v382152,819174,1
61,1948-07,Canada,Fluid purposes,v382156,146796,0
62,1948-08,Canada,"Milk production, total",v382152,733106,1
63,1948-08,Canada,Fluid purposes,v382156,136310,0
64,1948-09,Canada,"Milk production, total",v382152,647038,1
65,1948-09,Canada,Fluid purposes,v382156,141553,0
66,1948-10,Canada,"Milk production, total",v382152,546990,1
67,1948-10,Canada,Fluid purposes,v382156,141990,0
68,1948-11,Canada,"Milk production, total",v382152,432961,1
69,1948-11,Canada,Fluid purposes,v382156,145922,0
70,1948-12,Canada,"Milk production, total",v382152,385339,1
71,1948-12,Canada,Fluid purposes,v382156,154223,0
72,1949-01,Canada,"Milk production, total",v382152,348640,1
73,1949-01,Canada,Fluid purposes,v382156,145485,0
74,1949-02,Canada,"Milk production, total",v382152,324611,1
75,1949-02,Canada,Fluid purposes,v382156,138495,0
76,1949-03,Canada,"Milk production, total",v382152,408932,1
77,1949-03,Canada,Fluid purposes,v382156,154223,0
78,1949-04,Canada,"Milk production, total",v382152,530388,1
79,1949-04,Canada,Fluid purposes,v382156,148543,0
80,1949-05,Canada,"Milk production, total",v382152,711699,1
81,1949-05,Canada,Fluid purposes,v382156,148106,0
82,1949-06,Canada,"Milk production, total",v382152,835339,1
83,1949-06,Canada,Fluid purposes,v382156,148980,0
84,1949-07,Canada,"Milk production, total",v382152,781165,1
85,1949-07,Canada,Fluid purposes,v382156,147233,0
86,1949-08,Canada,"Milk production, total",v382152,729611,1
87,1949-08,Canada,Fluid purposes,v382156,148106,0
88,1949-09,Canada,"Milk production, total",v382152,658398,1
89,1949-09,Canada,Fluid purposes,v382156,145048,0
90,1949-10,Canada,"Milk production, total",v382152,583252,1
91,1949-10,Canada,Fluid purposes,v382156,151165,0
92,1949-11,Canada,"Milk production, total",v382152,451747,1
93,1949-11,Canada,Fluid purposes,v382156,149417,0
94,1949-12,Canada,"Milk production, total",v382152,394514,1
95,1949-12,Canada,Fluid purposes,v382156,154223,0
96,1950-01,Canada,"Milk production, total",v382152,355631,1
97,1950-01,Canada,Fluid purposes,v382156,148980,0
98,1950-02,Canada,"Milk production, total",v382152,326796,1
99,1950-02,Canada,Fluid purposes,v382156,141116,0
100,1950-03,Canada,"Milk production, total",v382152,419854,1
101,1950-03,Canada,Fluid purposes,v382156,159466,0
102,1950-04,Canada,"Milk production, total",v382152,515970,1
103,1950-04,Canada,Fluid purposes,v382156,148106,0
104,1950-05,Canada,"Milk production, total",v382152,660582,1
105,1950-05,Canada,Fluid purposes,v382156,154660,0
106,1950-06,Canada,"Milk production, total",v382152,816116,1
107,1950-06,Canada,Fluid purposes,v382156,149854,0
108,1950-07,Canada,"Milk production, total",v382152,758446,1
109,1950-07,Canada,Fluid purposes,v382156,150728,0
110,1950-08,Canada,"Milk production, total",v382152,710388,1
111,1950-08,Canada,Fluid purposes,v382156,148106,0
112,1950-09,Canada,"Milk production, total",v382152,625631,1
113,1950-09,Canada,Fluid purposes,v382156,148980,0
114,1950-10,Canada,"Milk production, total",v382152,524271,1
115,1950-10,Canada,Fluid purposes,v382156,151601,0
116,1950-11,Canada,"Milk production, total",v382152,410679,1
117,1950-11,Canada,Fluid purposes,v382156,150728,0
118,1950-12,Canada,"Milk production, total",v382152,362184,1
119,1950-12,Canada,Fluid purposes,v382156,152475,0
120,1951-01,Canada,"Milk production, total",v382152,342961,1
121,1951-01,Canada,Fluid purposes,v382156,152912,0
122,1951-02,Canada,"Milk production, total",v382152,311067,1
123,1951-02,Canada,Fluid purposes,v382156,142427,0
124,1951-03,Canada,"Milk production, total",v382152,391893,1
125,1951-03,Canada,Fluid purposes,v382156,161213,0
126,1951-04,Canada,"Milk production, total",v382152,490631,1
127,1951-04,Canada,Fluid purposes,v382156,150291,0
128,1951-05,Canada,"Milk production, total",v382152,672815,1
129,1951-05,Canada,Fluid purposes,v382156,156407,0
130,1951-06,Canada,"Milk production, total",v382152,802135,1
131,1951-06,Canada,Fluid purposes,v382156,154223,0
132,1951-07,Canada,"Milk production, total",v382152,756699,1
133,1951-07,Canada,Fluid purposes,v382156,150291,0
134,1951-08,Canada,"Milk production, total",v382152,720873,1
135,1951-08,Canada,Fluid purposes,v382156,150291,0
